UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 16:10 ?        00:00:13 /usr/lib/systemd/systemd --system --deserialize 22
root         2     0  0 16:10 ?        00:00:00 [kthreadd]
root         3     2  0 16:10 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 16:10 ?        00:00:00 [kworker/0:0H]
root         7     2  0 16:10 ?        00:00:00 [migration/0]
root         8     2  0 16:10 ?        00:00:00 [rcu_bh]
root         9     2  0 16:10 ?        00:00:06 [rcu_sched]
root        10     2  0 16:10 ?        00:00:00 [watchdog/0]
root        11     2  0 16:10 ?        00:00:00 [watchdog/1]
root        12     2  0 16:10 ?        00:00:00 [migration/1]
root        13     2  0 16:10 ?        00:00:00 [ksoftirqd/1]
root        15     2  0 16:10 ?        00:00:00 [kworker/1:0H]
root        16     2  0 16:10 ?        00:00:00 [watchdog/2]
root        17     2  0 16:10 ?        00:00:00 [migration/2]
root        18     2  0 16:10 ?        00:00:00 [ksoftirqd/2]
root        20     2  0 16:10 ?        00:00:00 [kworker/2:0H]
root        21     2  0 16:10 ?        00:00:00 [watchdog/3]
root        22     2  0 16:10 ?        00:00:00 [migration/3]
root        23     2  0 16:10 ?        00:00:00 [ksoftirqd/3]
root        25     2  0 16:10 ?        00:00:00 [kworker/3:0H]
root        26     2  0 16:10 ?        00:00:00 [watchdog/4]
root        27     2  0 16:10 ?        00:00:00 [migration/4]
root        28     2  0 16:10 ?        00:00:00 [ksoftirqd/4]
root        30     2  0 16:10 ?        00:00:00 [kworker/4:0H]
root        31     2  0 16:10 ?        00:00:00 [watchdog/5]
root        32     2  0 16:10 ?        00:00:00 [migration/5]
root        33     2  0 16:10 ?        00:00:00 [ksoftirqd/5]
root        35     2  0 16:10 ?        00:00:00 [kworker/5:0H]
root        36     2  0 16:10 ?        00:00:00 [watchdog/6]
root        37     2  0 16:10 ?        00:00:00 [migration/6]
root        38     2  0 16:10 ?        00:00:00 [ksoftirqd/6]
root        40     2  0 16:10 ?        00:00:00 [kworker/6:0H]
root        41     2  0 16:10 ?        00:00:00 [watchdog/7]
root        42     2  0 16:10 ?        00:00:00 [migration/7]
root        43     2  0 16:10 ?        00:00:00 [ksoftirqd/7]
root        45     2  0 16:10 ?        00:00:00 [kworker/7:0H]
root        47     2  0 16:10 ?        00:00:00 [khelper]
root        48     2  0 16:10 ?        00:00:00 [kdevtmpfs]
root        49     2  0 16:10 ?        00:00:00 [netns]
root        50     2  0 16:10 ?        00:00:00 [khungtaskd]
root        51     2  0 16:10 ?        00:00:00 [writeback]
root        52     2  0 16:10 ?        00:00:00 [kintegrityd]
root        53     2  0 16:10 ?        00:00:00 [bioset]
root        54     2  0 16:10 ?        00:00:00 [kblockd]
root        55     2  0 16:10 ?        00:00:00 [md]
root        62     2  0 16:10 ?        00:00:00 [kswapd0]
root        63     2  0 16:10 ?        00:00:00 [ksmd]
root        64     2  0 16:10 ?        00:00:00 [khugepaged]
root        65     2  0 16:10 ?        00:00:00 [fsnotify_mark]
root        66     2  0 16:10 ?        00:00:00 [crypto]
root        74     2  0 16:10 ?        00:00:00 [kthrotld]
root        76     2  0 16:10 ?        00:00:00 [kmpath_rdacd]
root        77     2  0 16:10 ?        00:00:00 [kpsmoused]
root        79     2  0 16:10 ?        00:00:00 [ipv6_addrconf]
root        98     2  0 16:10 ?        00:00:00 [deferwq]
root       136     2  0 16:10 ?        00:00:00 [kauditd]
root       315     2  0 16:10 ?        00:00:01 [kworker/7:1]
root       317     2  0 16:10 ?        00:00:00 [ata_sff]
root       318     2  0 16:10 ?        00:00:00 [scsi_eh_0]
root       319     2  0 16:10 ?        00:00:00 [scsi_tmf_0]
root       320     2  0 16:10 ?        00:00:00 [scsi_eh_1]
root       321     2  0 16:10 ?        00:00:00 [scsi_tmf_1]
root       323     2  0 16:10 ?        00:00:00 [scsi_eh_2]
root       324     2  0 16:10 ?        00:00:00 [scsi_tmf_2]
root       325     2  0 16:10 ?        00:00:00 [scsi_eh_3]
root       326     2  0 16:10 ?        00:00:00 [scsi_tmf_3]
root       347     2  0 16:10 ?        00:00:00 [ttm_swap]
root       364     2  0 16:10 ?        00:00:00 [scsi_eh_4]
root       365     2  0 16:10 ?        00:00:00 [scsi_tmf_4]
root       366     2  0 16:10 ?        00:00:00 [usb-storage]
root       383     2  0 16:10 ?        00:00:07 [kworker/3:1H]
root       384     2  0 16:10 ?        00:00:00 [kworker/0:1H]
root       385     2  0 16:10 ?        00:00:00 [kworker/7:1H]
root       388     2  0 16:10 ?        00:00:00 [kworker/1:1H]
root       393     2  0 16:10 ?        00:00:00 [kworker/2:1H]
root       394     2  0 16:10 ?        00:00:00 [kworker/6:1H]
root       395     2  0 16:10 ?        00:00:00 [kworker/4:1H]
root       456     2  0 16:10 ?        00:00:00 [kdmflush]
root       469     2  0 16:10 ?        00:00:00 [kdmflush]
root       470     2  0 16:10 ?        00:00:00 [bioset]
root       484     2  0 16:10 ?        00:00:00 [jbd2/dm-0-8]
root       485     2  0 16:10 ?        00:00:00 [ext4-rsv-conver]
root       558     1  0 16:10 ?        00:00:03 /usr/lib/systemd/systemd-journald
root       583     2  0 16:10 ?        00:00:00 [kworker/5:1H]
root       614     2  0 16:10 ?        00:00:00 [edac-poller]
root       625     2  0 16:10 ?        00:00:00 [kipmi0]
root       672     2  0 16:10 ?        00:00:00 [xfsalloc]
root       673     2  0 16:10 ?        00:00:00 [xfs_mru_cache]
root       674     2  0 16:10 ?        00:00:00 [xfs-buf/sdd1]
root       675     2  0 16:10 ?        00:00:00 [xfs-data/sdd1]
root       676     2  0 16:10 ?        00:00:00 [xfs-conv/sdd1]
